№;ЛД;ФИО;Статус;Приориетет;Рейтинг;Факультет;Форма обучения;Период обучения;Срок обучения;Курс;Код Специальности;Специальность;Образовательный уровень;Комиссия;Тип док. об обр.;Ср. балл;Награды;Оригинал;Коментарии;Бюджет;Общий конкурс;Целевой конкурс;Дата создания
31648;10306БС;Борисова Варвара Глебовна;Отклонено;Первый;86,14;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;09.03.2004;Программная инженерия;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,21;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;25.06.2019 15:46
31649;10307БС;Кондратовская Марина Серафимовна;Отклонено;Первый;105,9;Физтех;очная;Нормативный;4 года 00 мес.;1 (первый) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;нет;Отказался от участия в конкурсе;да;да;нет;25.06.2019 15:46
31652;10307БС;Кондратовская Марина Серафимовна;Отклонено;Второй;105,9;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;09.03.2004;Программная инженерия;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;25.06.2019 15:49
31655;10308БС;Тимофеенко Серафим Кондратович;В приказ;Второй;93,9;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Зарубежная филология (французский язык и литература));Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;без отличия;да;;да;да;нет;25.06.2019 15:50
31650;10308БС;Тимофеенко Серафим Кондратович;Аннулировано;Первый;93,9;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Зарубежная филология (английский язык и литература));Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;без отличия;да;;да;да;нет;25.06.2019 15:47
31651;10309БС;Борисенко Ирина Кондратовна;Отклонено;Первый;86,22;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.03;Управление персоналом;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,73;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;25.06.2019 15:49
31656;10309БС;Борисенко Ирина Кондратовна;Отклонено;Второй;86,22;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.04;Государственное и муниципальное управление;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,73;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;25.06.2019 15:50
31657;10310БС;Иванович Тимофей Степанович;Отклонено;Второй;96,9;Учфин;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Экономическая теория);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,9;без отличия;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;25.06.2019 15:51
31653;10310БС;Иванович Тимофей Степанович;Отклонено;Первый;96,9;Учфин;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.06;Торговое дело;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,9;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;25.06.2019 15:49
31674;10311БС;Глебович Яна Дмитриeвна;Отклонено;Второй;88,0;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика дошкольного образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,65;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;01.07.2019 9:31
31659;10311БС;Глебович Яна Дмитриeвна;В приказ;Первый;88,0;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;46.03.01;История;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,65;без отличия;да;;да;да;нет;25.06.2019 15:52
31660;4068У;Семеновский Тимофей Владимирович;Отклонено;Первый;30,72;Экономфак;заочная;Ускоренный;3 года 6 мес.;1 (первый) курс;38.03.02;Менеджмент (Профиль: Маркетинг);Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,84;без отличия;да;;нет;да;нет;25.06.2019 15:56
31661;4068У;Семеновский Тимофей Владимирович;В приказ;Второй;87,72;Экономфак;заочная;Ускоренный;3 года 6 мес.;1 (первый) курс;38.03.02;Менеджмент (Профиль: Логистика);Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,84;без отличия;да;;нет;да;нет;25.06.2019 15:58
31662;10312БС;Александрович Семен Кириллович;Отклонено;Первый;97,8;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;09.03.2004;Программная инженерия;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,9;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;25.06.2019 16:00
31663;10312БС;Александрович Семен Кириллович;Отклонено;Второй;97,8;Физтех;очная;Нормативный;4 года 00 мес.;1 (первый) курс;10.03.2001;Информационная безопасность;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,9;без отличия;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;25.06.2019 16:06
31664;10313БС;Владимирович Иннокентий Николаeвич;Отклонено;Первый;90,02;Химфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;04.03.2001;Химия;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,83;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;25.06.2019 16:14
31665;10314БС;Андреевич Екатерина Серафимовна;Отклонено;Первый;104,0;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;01.03.2002;Прикладная математика и информатика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;нет;Отказался от участия в конкурсе;да;да;нет;25.06.2019 16:24
31666;10314БС;Андреевич Екатерина Серафимовна;Отклонено;Второй;104,0;Физтех;очная;Нормативный;4 года 00 мес.;1 (первый) курс;10.03.2001;Информационная безопасность;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;25.06.2019 16:27
31667;4069У;Трофимов Тимофей Трофимович;В приказ;Первый;100,92;ФМИТ;заочная;Ускоренный;3 года 00 мес.;1 (первый) курс;44.03.05;Педагогическое образование (Профиль: Математика и информатика);Бакалавриат;СПО;Диплом о среднем профессиональном образовании;4,94;с отличием;да;;да;да;нет;25.06.2019 16:41
31668;10315БС;Петровский Иван Иванович;Отклонено;Первый;97,0;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;02.03.2002;Фундаментальная информатика и информационные технологии;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;25.06.2019 16:43
31669;10315БС;Петровский Иван Иванович;Отклонено;Второй;97,0;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;01.03.2002;Прикладная математика и информатика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;25.06.2019 16:48
31670;2927М;Кондратовский Николай Кондратович;В приказ;Первый;66,52;Филфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;45.04.01;Филология (Профиль: Исторические и теоретические аспекты изучения русской литературы);Магистратура;Магистры;Диплом бакалавра;3,88;без отличия;да;;да;да;нет;25.06.2019 17:00
31671;10316БС;Тимофеев Глеб Семенович;Отклонено;Первый;82,36;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,09;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;01.07.2019 9:21
31672;10317БС;Игнатов Семен Иванович;Отклонено;Первый;92,0;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;09.03.2004;Программная инженерия;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;26.06.2019 9:25
31673;10318БС;Иванович Мария Ивановна;В приказ;Первый;90,0;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.02;Менеджмент (Профиль: Маркетинг);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;;да;да;нет;26.06.2019 9:31
31676;10318БС;Иванович Мария Ивановна;Отклонено;Второй;90,0;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.04;Государственное и муниципальное управление;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;Отказался от участия в конкурсе;да;да;нет;26.06.2019 9:33
31675;4070У;Глебович Серафима Ивановна;В приказ;Первый;71,84;ФМИТ;заочная;Ускоренный;2 года 00 мес.;1 (первый) курс;46.03.02;Документоведение и архивоведение;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;4,48;без отличия;да;;да;да;нет;26.06.2019 9:32
31677;10319БС;Глебенко Мария Иннокентиeвна;В приказ;Первый;87,82;Экономфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;38.05.01;Экономическая безопасность;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,18;без отличия;да;;да;да;нет;26.06.2019 9:34
31678;10319БС;Глебенко Мария Иннокентиeвна;Отклонено;Второй;87,82;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.04;Государственное и муниципальное управление;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,18;без отличия;да;Отказался от участия в конкурсе;да;да;нет;26.06.2019 9:35
31679;10320БС;Кирилленко Мария Ивановна;Отклонено;Первый;93,0;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,65;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;26.06.2019 9:35
31680;10320БС;Кирилленко Мария Ивановна;Отклонено;Второй;93,0;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;46.03.02;Документоведение и архивоведение;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,65;без отличия;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;26.06.2019 9:36
31681;10321БС;Глебенко Степан Петрович;Отказ;Первый;61,58;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Зарубежная филология (английский язык и литература));Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,62;без отличия;да;Недостаточный балл по результатам вступительного испытания;да;нет;нет;26.06.2019 9:37
31688;10321БС;Глебенко Степан Петрович;В приказ по квоте;Второй;78,58;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Славянская филология);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,62;без отличия;да;;да;нет;нет;26.06.2019 9:42
31682;10322БС;Андреенко Лилия Андреeвна;В приказ;Первый;67,64;Биофак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;06.03.2001;Биология;Бакалавриат;Бакалавры/Специалисты;Диплом квалифицированного работника;3,41;без отличия;да;;да;да;нет;26.06.2019 9:39
31683;10323БС;Игнатенко Александр Степанович;Отклонено;Первый;88,8;Учфин;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Финансы и кредит);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;26.06.2019 9:39
31685;10323БС;Игнатенко Александр Степанович;Отклонено;Второй;88,8;Учфин;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Учет и аудит);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;26.06.2019 9:41
31686;10324БС;Серафименко Серафима Терентиeвна;Отклонено;Второй;92,6;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.03;Управление персоналом;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;Отказался от участия в конкурсе;да;да;нет;26.06.2019 9:42
31684;10324БС;Серафименко Серафима Терентиeвна;В приказ;Первый;92,6;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.02;Менеджмент (Профиль: Маркетинг);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;;да;да;нет;26.06.2019 9:40
31687;10325БС;Дмитриевич Серафим Иннокентиeвич;Аннулировано;Первый;88,08;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;41.03.05;Международные отношения;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,27;без отличия;да;;да;да;нет;26.06.2019 9:42
31691;10325БС;Дмитриевич Серафим Иннокентиeвич;В приказ;Второй;88,08;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;46.03.02;Документоведение и архивоведение;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,27;без отличия;да;;да;да;нет;26.06.2019 9:45
31689;10326БС;Терентиевский Владимир Игнатович;В приказ;Первый;83,76;Физтех;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,65;без отличия;да;;нет;да;нет;26.06.2019 9:43
31690;10327БС;Кирилленко Степан Андреeвич;Отклонено;Первый;71,12;УНИЭК;заочная;Нормативный;4 года 6 мес.;1 (первый) курс;38.03.05;Бизнес-информатика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,08;без отличия;да;Отказался от участия в конкурсе;нет;да;нет;26.06.2019 9:44
31692;10328БС;Кондратова Тамара Алексеeвна;В приказ по квоте;Первый;87,0;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;01.03.2002;Прикладная математика и информатика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;с отличием;да;;да;нет;нет;26.06.2019 9:49
31693;10329БС;Андреева Лидия Андреeвна;Аннулировано;Первый;93,28;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,82;без отличия;да;;да;да;нет;26.06.2019 9:49
31695;10329БС;Андреева Лидия Андреeвна;В приказ;Второй;93,28;Юрфак;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,82;без отличия;да;;да;да;нет;26.06.2019 9:51
31694;10330БС;Игнатовская Варвара Борисовна;В приказ;Первый;87,22;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,43;без отличия;да;;да;да;нет;26.06.2019 9:49
31696;10331БС;Глебов Дмитрий Кондратович;В приказ;Первый;78,66;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,04;без отличия;да;;да;да;нет;01.07.2019 9:54
31697;10332БС;Иванов Игнат Серафимович;В приказ;Первый;95,74;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,86;без отличия;да;;да;да;нет;26.06.2019 9:56
31698;10332БС;Иванов Игнат Серафимович;Отклонено;Второй;95,74;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,86;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;26.06.2019 10:00
31699;10333БС;Серафимова Ольга Кирилловна;Отклонено;Первый;90,6;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Международная экономика);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,65;без отличия;нет;Забрал документы;да;да;нет;26.06.2019 10:00
31700;10333БС;Серафимова Ольга Кирилловна;Допущено;Второй;90,6;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.02;Менеджмент (Профиль: Маркетинг);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,65;без отличия;нет;;да;да;нет;26.06.2019 10:02
31701;10334БС;Андреевич Иван Трофимович;В приказ;Первый;86,16;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,39;без отличия;да;;да;да;нет;26.06.2019 10:09
31702;10335БС;Серафимов Кондрат Иннокентиeвич;Отклонено;Первый;92,8;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;46.03.02;Документоведение и архивоведение;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,65;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;26.06.2019 10:10
31708;10335БС;Серафимов Кондрат Иннокентиeвич;Отклонено;Второй;92,8;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,65;без отличия;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;01.07.2019 10:21
31707;10336БС;Иннокентиевич Алексей Степанович;Отклонено;Второй;93,82;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,78;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;26.06.2019 10:16
31703;10336БС;Иннокентиевич Алексей Степанович;В приказ;Первый;93,82;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,78;без отличия;да;;да;да;нет;26.06.2019 10:10
31704;10337БС;Иннокентиева Ксения Николаeвна;В приказ;Первый;92,24;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,41;без отличия;да;;да;да;нет;26.06.2019 10:11
31705;10338БС;Кондратович Ульяна Алексеeвна;В приказ;Первый;90,86;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,39;без отличия;да;;да;да;нет;26.06.2019 10:11
31706;10338БС;Кондратович Ульяна Алексеeвна;Отклонено;Второй;90,86;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.04;Государственное и муниципальное управление;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,39;без отличия;да;Отказался от участия в конкурсе;да;да;нет;26.06.2019 10:13
31709;10339БС;Борисов Владимир Тимофеeвич;В приказ;Первый;86,98;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.02;Лингвистика (Профиль: Перевод и переводоведение) (английский язык);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,47;без отличия;да;;да;да;нет;26.06.2019 10:23
31710;10339БС;Борисов Владимир Тимофеeвич;Допущено;Второй;86,98;ФИЯ;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;45.05.01;Перевод и переводоведение. Письменный и устный перевод (английский язык);Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,47;без отличия;да;;да;да;нет;26.06.2019 10:23
31711;10340БС;Алексеенко Софья Степановна;В приказ;Первый;104,1;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;01.03.2002;Прикладная математика и информатика (Профиль: Статистика);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;серебряная медаль;да;;да;да;нет;26.06.2019 10:24
31712;10340БС;Алексеенко Софья Степановна;Отклонено;Второй;104,1;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Экономика предприятий);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;серебряная медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;26.06.2019 10:27
31713;10341БС;Петрович Трофим Иванович;Отклонено;Первый;87,18;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.02;Лингвистика (Профиль: Перевод и переводоведение) (английский язык);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,52;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;26.06.2019 10:29
31714;10341БС;Петрович Трофим Иванович;Допущено;Второй;87,18;ФИЯ;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;45.05.01;Перевод и переводоведение. Письменный и устный перевод (английский язык);Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,52;без отличия;нет;;да;да;нет;26.06.2019 10:30
31715;10342БС;Петровская Александра Тимофеeвна;Отклонено;Первый;93,64;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;46.03.01;История;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,86;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;26.06.2019 10:30
31721;10342БС;Петровская Александра Тимофеeвна;Отклонено;Второй;93,64;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.04;Государственное и муниципальное управление;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,86;без отличия;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;26.06.2019 10:36
31716;10343БС;Петров Серафим Иннокентиeвич;В приказ;Первый;103,0;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.02;Лингвистика (Профиль: Перевод и переводоведение) (английский язык);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;;да;да;нет;26.06.2019 10:32
31719;10343БС;Петров Серафим Иннокентиeвич;Отклонено;Второй;103,0;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.02;Лингвистика (Профиль: Перевод и переводоведение) (немецкий язык);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;26.06.2019 10:33
31717;10344БС;Владимиренко Зинаида Семеновна;Отклонено;Первый;97,5;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;26.06.2019 10:32
31725;10344БС;Владимиренко Зинаида Семеновна;Отклонено;Второй;93,5;Учфин;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Финансы и кредит);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;26.06.2019 10:39
31718;10345БС;Александренко Борис Тимофеeвич;В приказ;Первый;89,62;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,63;без отличия;да;;да;да;нет;01.07.2019 10:33
36523;10345БС;Александренко Борис Тимофеeвич;Отклонено;Второй;89,62;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,63;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;05.07.2019 11:54
31720;10346БС;Серафимовская Элеонора Кирилловна;В приказ;Первый;102,4;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;;да;да;нет;26.06.2019 10:36
31723;10346БС;Серафимовская Элеонора Кирилловна;Отклонено;Второй;106,4;Экономфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;38.05.01;Экономическая безопасность;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;26.06.2019 10:37
31724;10347БС;Терентиенко Вера Алексеeвна;Отклонено;Второй;94,0;Биофак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;06.03.2001;Биология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;26.06.2019 10:38
31722;10347БС;Терентиенко Вера Алексеeвна;В приказ;Первый;94,0;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;;да;да;нет;26.06.2019 10:36
31726;10348БС;Степанов Серафим Кириллович;В приказ;Первый;97,7;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;;да;да;нет;26.06.2019 10:40
31727;10349БС;Глебова Александра Семеновна;В приказ;Первый;89,28;Химфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;04.03.2001;Химия;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,82;без отличия;да;;да;да;нет;26.06.2019 10:42
31740;10349БС;Глебова Александра Семеновна;Отклонено;Второй;92,78;Биофак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;06.03.2001;Биология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,82;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;26.06.2019 10:54
31728;10350БС;Тимофеевский Александр Иванович;В приказ;Первый;88,0;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,85;без отличия;да;;да;да;нет;26.06.2019 10:43
31729;10351БС;Николаевич Игнат Алексеeвич;В приказ по квоте;Первый;71,94;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,21;без отличия;да;;да;нет;нет;26.06.2019 10:47
31730;10352БС(ВВ);Николаев Тимофей Кириллович;В приказ;Первый;89,78;ИФКС;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Бакалавры/Специалисты;Диплом о среднем профессиональном образовании;98,4;без отличия;да;;нет;да;нет;01.07.2019 10:47
